processed,labels
12 ruari 2015 casualti mount eastern ghouta citi regim continu assault tenth day row 120 peopl kill troop alli syrian regim step attack syria eastern ghouta governor focus citi douma around 10km northeast damascus regim aircraft drop 1000 bomb citi least 150 airstrik past ten day accord analyst `` rescu team volunt continu search survivor bodi rubbl amid mass destruct neighbourhood '' osama said douma-bas media activist told al-arabi al-jade least 400 peopl main women children injur bomb campaign 500 residenti build destroy accord citi monitor document offic retali administr presid bashar al-assad said attack ramp zahran alloush leader armi islam merg collect rebel opposit group declar damascus militari zone ar shot hundr missil capit rescu team volunt continu search survivor bodi osama said media activist latest escal also attempt regim forc break eastern ghouta control armi islam douma-bas activist drawn world attent tragedi use hashtag doumaextermin arab equival pictur video citi post use hashtag shown dozen sever injur children receiv treatment makeshift hospit well injur civilian dead bodi pull rubbl `` pictur douma high civilian bodi count show regim target residenti area militari site '' said hisham wah syrian nation coalit snc vice-presid regim use polici collect punish mani part syria sinc upris began ad wah call intern communiti put pressur assad regim stop massacr immedi `` intern allianc add assad posit locat target attack islam state group syria '' ad locat target assad troop week eastern ghouta includ town misraba ayn tarma arbin kafr batna al-wafideen refuge camp articl edit translat arab edit also,1
12 ruari 2015 free syrian armi nusra front fighter push town deir al-ada surround area rebel claim iranian-back lebanes group want set perman base hizballah fighter back syrian iranian forc push nusra front town deir al-ada report say major offens daraa governor london-bas syrian observatori human right said deir al-ada taken  two day fierc fight regim element rebel includ member nusra al-qaeda affili syria fighter free syrian armi offens part oper launch  seiz area intersect point three syrian governor rif dimashq daraa quneitra near disput golan height observatori group said 20 opposit fighter kill fight includ hizballah ambush near deir al-ada group director rami abdulrahman told afp news agenc hizballah lead attack deir al-ada surround hill al-arabi al-jade independ verifi report restor secur offici syrian news agenc sana quot militari sourc  say armi abl `` restor secur '' sanei tal al-hawa tal-ar southwestern countrysid damascus tal meri west damascus al-danaji tal antar near deir al-ada opposit local coordin committe deir al-ada said heavi shell forc free syrian armi town `` rang firepow '' ayman al-aasmi member fsa southern front command claim hizballah tri set perman base north daraa link posit southern lebanon hill mount hermon `` issu retak town hill '' said `` hizballah push larg forc battl most made lebanes iraqi militia light regim forc collaps daraa governor result loss battl opposit forc defect redeploy hot spot governor '' articl edit translat origin arab,1
23 ruari 2015 sawaiq al-rahman brigad announc kill sever nusra front fighter clash opposit group continu tag syria free syrian armi opposit group sawaiq al-rahman brigad al-nusra front idlib sawaiq al-rahman brigad announc  kill six nusra front fighter injur sever other countrysid south idlib northwest syria brigad syrian opposit faction affili free syrian armi fsa `` oper carri respons al-nusra attack town amiriyah set fire sever hous includ one belong mithqal al-abdallah former syrian revolutionari front srf command '' sawaiq al-rahman brigad state al-nusra mani enemi also mani hostag includ son col haitham afisi former fsa deputi chief staff brigad also recent kill abu hassan al-nusra leader town salqin countrysid around idlib hang `` violat commit al-nusra town civilian '' accord statement issu brigad fsas special forc seventh divis also issu statement give al-nusra 48 hour releas took hostag near week ago storm headquart town larouz taken includ divis command sever fighter statement also call al-nusra return possess taken abid `` law god '' prevent bloodsh former fsa deputi chief staff colonel haitham afisi said past eight month al-nusra also attack fighter group includ fsa srf hazzm maarat al-noman tyr brigad idlib tyr brigad led mithal al-abdallah yusuf al-hassan `` al-nusra mani enemi also mani hostag includ son brigad command detain four month '' afisi told al-arabi al-jade colonel said group lost popular support becom target attack like unit nusra front al-qaeda franchis oper syria lebanon aim overthrow regim presid assad syria group design `` terrorist organis '' mani western govern earli emb 2014 al-nusra start expand countrysid around idlib clash opposit faction particular srf al-nusra sinc seiz control countrysid south idlib provinci capit articl edit translat arab edit,1
6 i 2015 call islam state group post onlin new disturb video show murder two syrian activist confess spi tag syria islam state activist murder video palmyra islam state group releas new video purport show kill two syrian activist milit stronghold raqqa alleg spi extremist kill hundr peopl sinc declar islam caliph  last year citi raqqa de facto capit video post  is-link facebook page show two young men orang jumpsuit say film photograph is-held area syria sent footag person abroad identifi 21-year-old faysal hussein habibi 20-year-old bishr abdul-azim tie tree mask gunmen shoot head close rang follow releas video post onlin n 4 i purport show islam state fighter kill 25 syrian soldier histor town palmyra central syria score syrian troop state employe kill day palmyra fell video show soldier taken pickup truck town notori tadmur prison amphitheatr theatr shot dead young member arm pistol hundr peopl seen watch kill video indic kill took place britain-bas syrian observatori human right said shoot took place 27  report  score syrian troop state employe murder day town fell palmyra unesco world heritag site famous 2000-year-old roman colonnad ruin priceless artifact captur palmyra rais concern milit might tri destroy one middl east spectacular archaeolog site well-preserv roman-era citi town edg destroy pre-islam ancient monument elsewher syria iraq 2 i said milit destroy six archaeolog piec palmyra confisc smuggler shoot video took place insid archaeolog site troop bruis blood face appar result beaten made kneel front giant black flag shot back head,1
7 i 2015 suicid bomber al-qaeda syrian affili al-nusra front kill 25 soldier fighter loyal assad regim government-held western aleppo  monitor group said tag nusra front al-qaeda aleppo syria assad extrem war suicid bomber syria al qaeda offshoot nusra front blew syrian armi outpost contest neighborhood divid northern citi aleppo kill least 25 soldier alli militia injur score monitor said uk base syrian observatori human right track violenc across countri said explos blast heard across citi sever islamist-l group recent launch offens control remain western part citi govern hand rebel websit said heavi bombard rebel-held portion jamiyat al zahra district rebel gain ground brought closer heart govern control part citi 2011 civil war countri main industri commerci hub rami abdul rahman head monitor group said syrian armi respond heavi firepow includ aerial bombard attempt stem offens al qaeda-link insurg post social media imag fighter nusra front head toward district syrian armi repeat said recent day fallen insurg hand syrian televis said syrian armi foil attempt extremist deton explosive-laden truck head toward jamiyat al zahra deton reach target,0
8 i 2015 regim forc fend attack rebel fighter zahra neighbourhood aleppo report heavi casualti side tag syria aleppo regim forc rebel forc nusra front syrian troop pro-govern gunmen repel offens rebel milit neighbourhood northern citi aleppo  opposit activist claim armi carri chlorin gas attack anoth part citi state media activist said offens led member al-qaeda affili syria nusra front began late  suicid attack follow ground offens led captur sever build western zahra neighborhood activist said citi wit fierc battl shell daili intens -ibrahim khatib activist state news agenc sana said troop abl destroy vehicl rig explos reach target zahra ad troop repel attack kill wound dozen insurg zahra part aleppo britain-bas syrian observatori human right said suicid attack carri member nusra front kill 25 troop pro-govern gunmen group ad 19 insurg kill sinc  zahra former industri commerci hub aleppo carv govern rebel-held neighbourhood sinc i 2012 syria largest citi devast three year fight mani resid long fled `` citi wit fierc battl shell daili intens '' said aleppo-bas activist ibrahim khatib via skype `` situat bad resid live difficult humanitarian condit '' opposit fighter islam milit launch seri attack aleppo sinc last week captur citi scientif research center use militari base activist said syrian troop pro-govern gunmen tri retak base luck far chlorin gas local coordin committe observatori said govern troop use chlorin gas  attempt regain control scientif research center observatori chief rami abdurrahman said casualti among milit sinc wear mask opposit govern blame chlorin gas attack past fight part new coordin offens aleppo newly-form coalit nusra front faction includ ultra-conserv ahrar al-sham group coalit call ansar al-sharia said seek `` liber '' aleppo iran assad strongest region alli extend billion dollar credit sinc crisi began  2011 northwestern provinc idlib nusra front member kidnap iraqi christian priest diaa aziz villag yacoubiyeh observatori said said aziz kidnap  whereabout known bankrol iran also  syria parliament approv draft law ratifi new iranian credit line agreement sign  19 syrian commerci bank export develop bank iran deal worth around 1 billion aim fund import good commod well project iran presid bashar assad strongest region alli extend billion dollar credit sinc crisi began  2011 unit state saudi arabia sever countri persian gulf suspect tehran also ship weapon anoth develop syrian tribal leader secret talk un special envoy syria senior us general form coalit similar so-cal `` sunni awaken '' us occup iraq accord independ howev interview uk newspap tribal leader said wari exploit extern power blame countri current situat syria conflict kill peopl wound least million accord un half syria prewar popul 22 million forc leav home,0
15 i 2015 abu abdelrahman salqeen leader syrian rebel group ahrar al-sham kill  suicid bomb target group second time less year tag syria ahrar al-sham nusra front suicid bomb staffan de mistura southern front allianc regim forc hezbollah zabadani islam state group airstrik doubl suicid bomb northern syria  target headquart islamist rebel group kill leader sever high rank member attack second time less year bomb take leadership ahrar al-sham `` free men levant '' one power islam group fight presid bashar assad forc rival islam state group hold wide swath territori syria iraq  attack struck headquart ahrar al-sham northwest town idlib kill group leader abu abdelrahman salqeen syrian observatori human right said six ahrar al-sham member also die local coordin committe activist also report attack immedi claim respons bomb attack came day senior member ahrar al-sham publish op- piec washington post deni espous al-qaeda ideolog portray group moder islamist altern syria claim key defeat temb ahrar al-sham leader hassan abboud kill along sever lead member group similar bomb also idlib provinc ahrar al-sham largest group jaysh al-fateh armi conquest coalit islamist moder rebel group took control regime-held stronghold idlib  year accord report al-monitor various group jaysh al-fateh troubl agre unifi approach govern territori captur larg group coalit al-qaeda-link nusra front report attack sharia court build polic station affili ahrar al-sham-domin sharia author manag liber area idlib kafr nabl 8 i syrian forc back lebanes hezbollah fighter enter rebel-held mountain resort near border lebanon follow protest idlib countrysid nusra front nusra fighter suppress report use lethal forc bomb mosqu last  kill least 10 member group accord reuter un envoy meet southern rebel un special envoy syria crisi staffan de mistura met leader southern front allianc southern syria  first time accord reuter southern front allianc control signific amount territori capit damascus southern border made number signific gain regim forc last month de mistura began extens round meet parti direct indirect involv conflict  eye end brutal four-year civil war accord offic plan finalis plan end i reach polit solut conflict regim offens tighten grip zabadani state media say syrian forc back lebanes hizbollah fighter enter rebel-held mountain resort near border lebanon day launch major offens captur town state-run syrian tv said troop enter town zabadani western jamaiyat district  hezbollah al-manar tv ran exclus footag purport show hezbollah fighter town show scene heavi fight includ explos mushroom white smoke accord sourc regim latest attempt secur zabadani start 12 day ago meshaal kill airstrik hasakeh compos sever jihadi hymn celebr tyrdom holi war regim warplan helicopt launch least 60 air raid yesterday rebel-held syrian town zabadani west damascus short distanc lebanes border accord monitor group london-bas syrian observatori human right said least 29 raid warplan zabadani least 34 barrel bomb drop helicopt far today raid come forc regim armi hezbollah engag 11th day heavi fight rebel forc area control strateg town spokesperson zabadani revolut coordin committe told al-arabi al-jade  forc regim armi hezbollah made sever attempt advanc town south attempt repel zabadani captur would tighten hezbollah grip syrian territori border lebanon strengthen syrian govern control beirut-damascus highway town held rebel sinc short syria crisi began  2011 us airstrik target syrian observatori human right report death two senior islam state group leader suspect us airstrik  abu osama al-iraqi amer al-rafdan kill believ us airstrik hasakeh saudi nation maher meshaal known abu hajar al-hadrami also kill airstrik hasakeh accord support twitter cbs report meshaal compos sever jihadi hymn celebr tyrdom holi war airstrik come week presid barrack obama announc us would intensifi campaign airstrik northern syria,1
16 i 2015 least 11 civilian includ three children kill regim barrel bomb attack town al-bab held extremist islam state group monitor group said tag syria islam state group civilian barrel bomb syrian observatori human right least 11 civilian among three children kill  regim barrel bomb attack extremist-held town northern syria monitor group said govern helicopt drop crude indiscrimin weapon al-bab lie northern provinc aleppo held extremist islam state group accord syrian observatori human right sinc  least 68 civilian kill aerial attack town observatori head rami abdel rahman told afp `` intensifi air attack regim forc al-bab aim foil effort multipl front '' includ nearbi kweyri militari airport besieg year al-bab strateg import one iss closest posit regime-held part aleppo said  60 civilian kill barrel bomb attack town syria embattl regim heavili bombard area aleppo provinc fallen control west idlib provinc allianc rebel islamist fighter carri heavili shell provinc last two regime-held shia villag second consecut day `` armi conquest '' opposit coalit includ al-qaeda syria affili al-nusra front began assault fuaa kafraya  `` dozen shell fell overnight   morn fuaa kafraya larg inhabit shia muslim '' observatori said abdel rahman said casualti immedi toll armi conquest said  attack respons offens armi lebanes shia movement hezbollah zabadani last rebel-held bastion along syrian-lebanes border clash zabadani rage  accord observatori document heavi shell town sinc earli i least peopl kill syria multi-front conflict began 2011 anti-govern protest devolv civil war,1
28 i 2015 syrian rebel launch huge offens government-held area northwestern syria bid advanc toward coastal region vital presid bashar al-assad control western syria tag syria idlib bashar al-assad sohr al-qaeda al-nusra syrian rebel launch huge offens government-held area north-western syria bid advanc toward coastal region vital presid bashar al-assad control western syria monitor group said  syrian observatori human right said insurg includ al qaeda-link nusra front captur government-held posit outsid town jisr al-shughour push northern tip sahl al-ghab plain overnight rami abdulrahman run uk-bas observatori said govern forc launch counter attack recov lost ground sahl al-ghab reuter report militari sourc said `` battl ongo area armi milit attack terrorist '' insurg includ nusra front captur jisr al-shughour  part wider offens drove syrian govern forc near northwestern provinc idlib rebel advanc western provinc regim forc retreat elsewher syrian troop kurdish fighter oust islam state group hasakeh  month extremist launch assault north-eastern citi monitor group said govern troop kurdish forc share control citi battl sinc  25 push forc citi capit hasakeh provinc `` expel armi zuhur last district present hasakeh fighter push southern outskirt citi '' said syrian observatori human right director rami abdel rahman least 287 fighter among 26 minor kill fight hasakeh well strike us-l coalit outsid citi said anoth 120 soldier pro-regim militiamen sever dozen kurdish forc also kill state news agenc sana said syria arm forc `` dealt great blow daesh terrorist zuhur ''  say extremist push citi `` armi unit advanc zuhur execut special oper terrorist hotb '' report attack hasakeh citi sever time latest assault serious yet forc initi seiz sever district southern part citi kurdish fighter regim troop mobilis observatori said use least 21 car bomb sever suicid bomber month-long campaign,0
29 i 2015 isra airstrik government-held villag syrian side golan height ceasefir line kill five pro-regim forc  monitor group said tag syria golan height isra airstrik hezballah sohr isra airstrik government-held villag syrian side golan height ceasefir line kill five pro-regim forc  monitor group said `` isra plane hit car insid town hader kill two men lebanes shia group hezballah three men pro-regim popular committe town '' said rami abdel rahman director syrian observatori human right hader druze villag lie along ceasefir line israeli-occupi portion golan height plateau west border damascus provinc northeast isra armi spokeswoman declin comment incid accord hezballah offici televis station al-manar `` two member syria pro-regim militia nation defenc forc kill isra drone target car entranc hader quneitra provinc '' nation defenc forc fighter oper throughout syria lebanon hezballah close alli syrian govern dispatch fighter bolster armi upris began  2011 rebel fighter includ islamist surround villag hader  17 fierc clash loyalist militia area israel signific druze minor express concern brethren syria would target rebel druze secret offshoot shia islam offici say northern israel anoth 20000 israeli-occupi golan israel seiz 1200 squar kilometr 460 squar mile golan height neighbour syria 1967 six day war,0
syrian militari aircraft crash bomb run rebel-held northwestern town ariha  leav least 27 peopl dead monitor group said tag syria idlib ariha assad war govern air raid northwestern town syria subsequ crash syrian warplan slam residenti area kill least 27 peopl  activist said raid town ariha came amid intens clash govern forc insurg northwestern provinc idlib central region hama town govern stronghold captur opposit fighter islam milit  govern forc suffer setback idlib provinc sinc  includ loss provinci capit name activist group known local coordin committe said warplan crash busi ket ad immedi clear whether shot lcc said 27 peopl kill mani other wound rami abdurrahman head anoth activist group britain-bas syrian observatori human right said plane crash town centr destroy sever home observatori later said 31 peopl kill 60 wound ariha today facebook page post photo show least seven build reduc rubbl narrow street said 27 peopl kill 12 identifi yet group also list 55 wound includ nine women discrep differ casualti figur report could reconcil observatori lcc said time crash town attack syrian presid bashar assad air forc amateur video post onlin activist show sever damag build well part plane crash syria civil war began  2011 unit nation say war kill peopl wound least one million left mani displac intern neighbour countri four million syrian fled civil war becom refuge surround region,0
2 i 2016 syrian regim kill least 43 peopl town jayrud near damascus reveng shell attack down pilot kill rebel tag syria warplan shell pilot jayrud qalamoun jaish al-islam al-nusra front least 43 peopl kill syrian regim shell rebel-held town northeast syrian capit down govern pilot execut rebel bombard hit town jayrud  islamist rebel kill pilot captur forc eject  `` least two kill jayrud medic staff '' head syrian observatori human right rami abdel rahman said `` promin figur jayrud local truce regim least two year neither fire '' ad jaish al-islam spokesman islam alloush said  al-nusra front execut air forc pilot jayrud plane shot jaish al-islam `` surpris member al-nusra kill pilot whose plane shot pledg hand us '' alloush said twitter alloush identifi pilot lieuten nawra hassan post interview kill imag captur pilot releas twitter  statement incid syrian state media said attack `` would go unpunish '' ad plane crash due `` technic failur train mission '' rebel group jayrud 60 kilometr damascus includ saudi-back jaish al-islam hardlin ahrar al-sham al-qaeda affili al-nusra front jaish al-islam like al-qaida affili consid terrorist group syrian govern russia sever govern aircraft shot rebel crash technic fault sinc civil war erupt five year ago also  jaish al-islam said shot regim drone near villag al-bahariya eastern ghouta conflict kill peopl displac million,0
youssef diab paula astih najla habriri `` chemic '' massacr idlib defi world beirut london- warplan releas toxic gas target  town khan sheikhoun idlib northwestern syria massacr dozen peopl injur hundr mani point finger syrian regim deni respons attack describ massacr fabric fake accus arm fighter syrian observatori human right said attack believ carri syrian regim russian jet kill least 58 peopl includ 11 children age 8 observatori ad warplan continu bomb town follow attack took place near medic center victim first aggress treat attack also caus mani peopl choke foam mouth observatori ad high-rank syrian opposit offici told asharq al-awsat gas use  massacr never use director levant institut strateg affair lisa sami nader said crime constitut turn point syrian develop embarrass russian issu chemic meanwhil nation coalit syrian revolut opposit forc said attack kill 100 peopl includ 25 children 15 women injur 400 other militari sourc free syrian armi told asharq al-awsat attack target popular ket center khan sheikhoun attack target civilian order push resid idlib suburb migrat outsid syrian border sourc assert un war crime investig look alleg chemic weapon attack syrian town idlib secur council expect hold meet  discuss matter organ prohibit chemic weapon opcw said serious concern attack said fact find mission ffm process gather analyz inform avail sourc sever countri also condemn attack white hous consid unaccept us presid donald trump said heinous action bashar assad regim consequ past administr weak irresolution.for part french presid francoi holland direct blame syrian regim forc attack high repres european union foreign affair secur polici federica mogherini said regim assad bear prii responsibility.com happen khan sheikhoun un special envoy syria staffa de mistura said horrif im sure secur council meet clear identif respons account youssef diab paula astih najla habriri,1
bus bomb k end tragic evacu deal syria two syrian mother opposit side two-year sieg evacu blockad suppos end suffer case wake bomb outsid citi aleppo noha shiit samira sunni besieg near two year side syria civil war weekend final escap suffoc blockad evacu agreement ordeal wait two transit point mile apart outsid aleppo bomb attack hit noha bus convoy kill 120 peopl includ dozen children ambul rush wound new buse arriv two convoy eventu reach destin one regim territori rebel territori hour lead  attack two women spoke reuter left behind famili split likelihood would never return home reuter allow back past secur tri find noha blast lost contact samira speak earlier anoth evacue phone weve lost everyth hope go back one day dont expect wil said noha 45 ask identifi last name noha left al-foua one two shiit villag besieg syrian insurg idlib provinc two youngest children 5000 peopl deal syrian regim arm opposit exchang 2000 sunni resid rebel fighter regime-besieg town madaya near damascus samira hometown given safe passag buss idlib provinc rebel stronghold via aleppo thousand syrian evacu besieg area recent month deal bashar al-assad regim rebel fight six year unseat rebel say amount forc displac assad oppon syria main urban center west countri engend demograph chang opposit syria popul sunni littl choic leav scare said samira 55 travel five adult son fear son would arrest forc join syrian regim forc fight troop offici damascus regim move town like noha samira reliev escap crush sieg caus widespread hunger case madaya starvat left everyth behind includ famili own three hous farmland three shop madaya town dont singl syrian pound said dhter pregnant third child stay madaya husband vow live die said samira heard husband near four year arrest regim noth left place stay idlib camp samira said would tri migrat join 5 million syrian refuge left sinc war broke 2011 6 million intern displac dont want idlib know one also dont know jet might bomb said refer heavi bombard russian syrian warplan rebel-held area idlib includ recent alleg poison gas attack plan tri get turkey leav syria good noha also head unknown dont know well live whether author anyth set least want safe children jump night sound rocket want secur wherev take us said adult son dhter stay al-foua hope leav next stage evacu deal noha husband kill say women said would never left hometown strangl sieg caus sever food medicin shortag gradual chang control area  dead explos kill least 100 includ children regim support opposit fighter evacu point ad new urgenc wide critic oper blast rip bus depot al-rashideen area thousand regim loyalist evacu day wait restless hour opposit fighter guard area negoti bicker complet transfer deal meter away hundr evacue pro-rebel area also loiter walled-off park lot guard regim troop asharq al-awsat asharq al-awsat world premier pan-arab daili newspap print simultan day four contin 14 citi launch london 1978 asharq al-awsat establish decis public pan-arab intern affair offer reader in-depth analysi exclus editori well comprehens coverag entir arab world,1
post  asharq al-awsat english six kill aleppo bomb evacu 4 syrian town resum six peopl kill dozen other wound blast rock northern syrian citi aleppo time complex evacu deal carri kilomet away rashidin southwestern suburb citi syrian state tv said explos devic went northern citi aleppo kill six peopl wound 30 other provid detail  blast regime-held salaheddin neighborhood opposit media group includ aleppo today said explos occur near mosqu funer regim fighter aleppo divid regim rebel-held district year regim forc manag drive rebel citi decemb russian-back offens contest area remain meanwhil wide critic evacu thousand syrian four besieg area resum  state media activist said day bomb kill 120 evacue delay popul transfer central militari media said 3000 resid two pro-regim villag foua kafarya left  45 buse bound regime-control aleppo anoth 11 buse carri 500 peopl includ opposit fighter left madaya zabadani near damascus head toward northern rebel-held idlib provinc opposition-run syrian observatori human right also report transfer said includ 800 arm men rebel regim 160 most gunmen remain zabadani process resum 3000 peopl leav foua kafraya dawn near 300 leav zabadani two rebel-held area head britain-bas monitor group rami abdel rahman told afp secur tighten  departur sever dozen arm rebel fighter stood guard shal area buse park afp correspond said vehicl care search repeat delay first phase deal began  30 hour first two batch reach exchang point massiv explos struck near buse carri evacue pro-regim area kill 120 most women children mani rebel fighter guard buse also kill one claim respons attack regim blame rebel transfer deal overseen unit nation critic say string evacu could see 30000 peopl move across battl line next 60 day reward sieg tactic amount forc displac along polit sectarian line four area sieg year fate link seri reciproc agreement un say hinder aid deliveri asharq al-awsat english asharq al-awsat world premier pan-arab daili newspap print simultan day four contin 14 citi launch london 1978 asharq al-awsat establish decis public pan-arab intern affair offer reader in-depth analysi exclus editori well comprehens coverag entir arab world,1
